date,flow_v
2021-03-23 15:24:40,4
2021-03-23 15:24:40,7
2021-03-23 15:24:40,4
2021-03-23 15:24:40,4
2021-03-23 15:24:40,4
2021-03-23 15:24:40,4
2021-03-23 15:24:40,7
2021-03-23 15:24:40,4
2021-03-23 15:24:41,7
2021-03-23 15:24:41,4
2021-03-23 15:24:41,4
2021-03-23 15:24:41,7
2021-03-23 15:24:41,4
2021-03-23 15:24:41,4
2021-03-23 15:24:41,4
2021-03-23 15:24:41,4
2021-03-23 15:24:41,7
2021-03-23 15:24:42,17
2021-03-23 15:24:42,4
2021-03-23 15:24:42,4
2021-03-23 15:24:42,4
2021-03-23 15:24:42,4
2021-03-23 15:24:42,4
2021-03-23 15:24:42,14
2021-03-23 15:24:42,4
2021-03-23 15:24:42,7
2021-03-23 15:24:42,4
2021-03-23 15:24:43,18
2021-03-23 15:24:43,13
2021-03-23 15:24:43,18
2021-03-23 15:24:43,18
2021-03-23 15:24:43,13
2021-03-23 15:24:43,18
2021-03-23 15:24:43,13
2021-03-23 15:24:43,14
2021-03-23 15:24:43,4
2021-03-23 15:24:43,3
2021-03-23 15:24:44,14
2021-03-23 15:24:44,4
2021-03-23 15:24:44,4
2021-03-23 15:24:44,14
2021-03-23 15:24:44,11
2021-03-23 15:24:44,14
2021-03-23 15:24:44,14
2021-03-23 15:24:44,14
2021-03-23 15:24:44,14
2021-03-23 15:24:44,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,14
2021-03-23 15:24:45,11
2021-03-23 15:24:45,11
2021-03-23 15:24:46,14
2021-03-23 15:24:46,4
2021-03-23 15:24:46,11
2021-03-23 15:24:46,11
2021-03-23 15:24:46,14
2021-03-23 15:24:46,14
2021-03-23 15:24:46,14
2021-03-23 15:24:46,14
2021-03-23 15:24:46,4
2021-03-23 15:24:46,11
2021-03-23 15:24:47,11
2021-03-23 15:24:47,17
2021-03-23 15:24:47,7
2021-03-23 15:24:47,17
2021-03-23 15:24:47,1
2021-03-23 15:24:47,4
2021-03-23 15:24:47,13
2021-03-23 15:24:47,7
2021-03-23 15:24:47,1
2021-03-23 15:24:47,7
2021-03-23 15:24:48,14
2021-03-23 15:24:48,17
2021-03-23 15:24:48,7
2021-03-23 15:24:48,14
2021-03-23 15:24:48,10
2021-03-23 15:24:48,10
2021-03-23 15:24:48,7
2021-03-23 15:24:48,7
2021-03-23 15:24:48,4
2021-03-23 15:24:48,4
2021-03-23 15:24:49,4
2021-03-23 15:24:49,4
2021-03-23 15:24:49,4
2021-03-23 15:24:49,3
2021-03-23 15:24:49,8
2021-03-23 15:24:49,13
2021-03-23 15:24:49,18
2021-03-23 15:24:49,18
2021-03-23 15:24:49,18
2021-03-23 15:24:49,18
2021-03-23 15:24:50,18
2021-03-23 15:24:50,18
2021-03-23 15:24:50,13
2021-03-23 15:24:50,7
2021-03-23 15:24:50,4
2021-03-23 15:24:50,1
2021-03-23 15:24:50,17
2021-03-23 15:24:50,11
2021-03-23 15:24:50,11
2021-03-23 15:24:50,0
2021-03-23 15:24:51,13
2021-03-23 15:24:51,18
2021-03-23 15:24:51,18
2021-03-23 15:24:51,10
2021-03-23 15:24:51,8
2021-03-23 15:24:51,8
2021-03-23 15:24:51,7
2021-03-23 15:24:51,7
2021-03-23 15:24:51,17
2021-03-23 15:24:51,17
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:52,11
2021-03-23 15:24:53,11
2021-03-23 15:24:53,17
2021-03-23 15:24:53,11
2021-03-23 15:24:53,11
2021-03-23 15:24:53,7
2021-03-23 15:24:53,14
2021-03-23 15:24:53,4
2021-03-23 15:24:53,1
2021-03-23 15:24:53,8
2021-03-23 15:24:53,8
2021-03-23 15:24:54,8
2021-03-23 15:24:54,8
2021-03-23 15:24:54,4
2021-03-23 15:24:54,8
2021-03-23 15:24:54,4
2021-03-23 15:24:54,4
2021-03-23 15:24:54,4
2021-03-23 15:24:54,4
2021-03-23 15:24:54,4
2021-03-23 15:24:54,8
2021-03-23 15:24:55,8
2021-03-23 15:24:55,8
2021-03-23 15:24:55,8
2021-03-23 15:24:55,4
2021-03-23 15:24:55,18
2021-03-23 15:24:55,8
2021-03-23 15:24:55,18
2021-03-23 15:24:55,18
2021-03-23 15:24:55,8
2021-03-23 15:24:56,18
2021-03-23 15:24:56,14
2021-03-23 15:24:56,18
2021-03-23 15:24:56,8
2021-03-23 15:24:56,8
2021-03-23 15:24:56,8
2021-03-23 15:24:56,4
2021-03-23 15:24:56,8
2021-03-23 15:24:56,4
2021-03-23 15:24:56,4
2021-03-23 15:24:57,4
2021-03-23 15:24:57,14
2021-03-23 15:24:57,11
2021-03-23 15:24:57,1
2021-03-23 15:24:57,4
2021-03-23 15:24:57,4
2021-03-23 15:24:57,8
2021-03-23 15:24:57,8
2021-03-23 15:24:57,4
2021-03-23 15:24:57,7
2021-03-23 15:24:58,4
2021-03-23 15:24:58,18
2021-03-23 15:24:58,8
2021-03-23 15:24:58,4
2021-03-23 15:24:58,17
2021-03-23 15:24:58,4
2021-03-23 15:24:58,18
2021-03-23 15:24:58,0
2021-03-23 15:24:58,4
2021-03-23 15:24:58,18
2021-03-23 15:24:59,7
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:24:59,14
2021-03-23 15:25:00,14
2021-03-23 15:25:00,14
2021-03-23 15:25:00,14
2021-03-23 15:25:00,14
2021-03-23 15:25:00,14
2021-03-23 15:25:00,8
2021-03-23 15:25:00,4
2021-03-23 15:25:00,4
2021-03-23 15:25:00,4
2021-03-23 15:25:00,4
2021-03-23 15:25:01,4
2021-03-23 15:25:01,4
2021-03-23 15:25:01,4
2021-03-23 15:25:01,4
